alert_id,customer_id,amount,account_age_days,prior_orders,prior_disputes,delivery_status,delivery_proof,device_fingerprint,address_hash,days_since_purchase,complaint_category,complaint_text,persona,ring_archetype,text_contradiction,would_win_if_fought
ALT00013,CUST00432,2450.11,1333,24,1,in_transit,otp,dev_e8c35a79,addr_eba2a67c,43,duplicate_charge,"Charged twice for the same order, please reverse one debit. Kindly help.",honest,,False,1
ALT00014,CUST00599,1424.93,232,5,1,delivered,signed,dev_0308aa5e,addr_fa3c1628,38,not_as_described,"Received the wrong variant, this is not what I ordered.",honest,,False,1
ALT00015,CUST01262,1325.82,804,18,0,in_transit,otp,dev_73dd3bc6,addr_638e1388,27,item_not_received,Order never arrived. Tracking shows delivered but nothing reached me.,honest,,False,1
ALT00016,CUST00830,4941.0,877,15,1,delivered,otp,dev_a5f60735,addr_b7f60cdf,37,not_as_described,Product does not match the description on your site. Kindly help.,honest,,False,1
ALT00017,CUST00245,926.75,661,48,0,in_transit,otp,dev_02472360,addr_e959137f,16,duplicate_charge,Duplicate debit of the same amount on the same day.,honest,,False,1
ALT00018,CUST00472,1924.67,29,3,0,lost,none,dev_3f086a9e,addr_243191eb,5,unauthorised,I did not authorise this transaction on my card. Refund immediately.,ring,tight,False,0
ALT00019,CUST00230,1602.96,295,15,1,delivered,otp,dev_bf8f81ea,addr_165607c0,45,unauthorised,I did not authorise this transaction on my card. The box was torn when I opened it. I raised this before and got no response.,opportunist,,True,0
ALT00020,CUST00665,1600.57,567,9,2,lost,none,dev_c9257285,addr_a30bd3b5,34,item_not_received,Order never arrived. Tracking shows delivered but nothing reached me. I raised this before and got no response.,opportunist,,False,0
ALT00021,CUST00723,753.44,55,1,0,delivered,otp,dev_ca8b6e4c,addr_7f7ac78c,16,duplicate_charge,Two payments went out for a single purchase. Refund immediately.,ring,dropship,False,1
ALT00022,CUST00895,5586.98,89,0,2,delivered,signed,dev_8d204cf6,addr_e7e399b8,4,unauthorised,"Unknown charge from your store, I never placed any order. Refund immediately.",ring,household,False,1
ALT00023,CUST01073,1883.76,431,20,4,delivered,signed,dev_f5264ea2,addr_596ed71c,10,unauthorised,"Unknown charge from your store, I never placed any order.",opportunist,,False,1
ALT00024,CUST01201,4136.88,310,24,0,delivered,signed,dev_909e21ba,addr_b2a0f778,13,item_not_received,I have not received this package even after 13 days.,honest,,False,1
ALT00025,CUST00552,2554.63,172,3,4,delivered,signed,dev_25aa620f,addr_4dbbb7cd,2,duplicate_charge,Two payments went out for a single purchase. I raised this before and got no response.,opportunist,,False,1
ALT00026,CUST00448,2001.59,934,24,1,lost,none,dev_8d3a5d76,addr_9b4bf377,42,not_as_described,Item is not what the listing showed. Quality is poor.,honest,,False,0
ALT00027,CUST01477,1701.45,335,11,1,delivered,signed,dev_1fd28b9e,addr_a928a5b2,43,item_not_received,Nothing was delivered to my address. Please refund the amount.,opportunist,,False,1
ALT00028,CUST00494,1709.68,885,13,0,in_transit,none,dev_d93d8722,addr_c4df5b8d,16,item_not_received,Nothing was delivered to my address. Please refund the amount.,honest,,False,0
ALT00029,CUST01082,702.98,811,48,0,delivered,none,dev_7b53359e,addr_46e1ee40,45,item_not_received,Nothing was delivered to my address. Please refund the amount.,honest,,False,0
ALT00030,CUST00002,1044.71,1022,15,1,in_transit,otp,dev_0fbc6377,addr_c25a6eb3,13,not_as_described,Item is not what the listing showed. Quality is poor. Kindly help.,honest,,False,1
ALT00031,CUST00627,3622.08,23,0,1,in_transit,none,dev_b87189e1,addr_0182c481,45,unauthorised,"Unknown charge from your store, I never placed any order. Refund immediately.",ring,dropship,False,0
ALT00032,CUST01371,1689.58,364,4,1,in_transit,none,dev_bd1a2704,addr_2cdc1cc0,37,not_as_described,Item is not what the listing showed. Quality is poor. I raised this before and got no response.,opportunist,,False,0
ALT00033,CUST00093,4696.56,1290,50,0,in_transit,none,dev_ce6322b6,addr_12738a23,16,not_as_described,"Received the wrong variant, this is not what I ordered.",honest,,False,1
ALT00034,CUST00882,1082.11,552,45,0,lost,none,dev_e797f3ae,addr_18e824e9,5,item_not_received,"Order never arrived. Tracking shows delivered but nothing reached me. The size is wrong, I want to send it back.",honest,,True,0
ALT00035,CUST00419,1697.94,266,33,1,delivered,otp,dev_d1151fff,addr_fe7402cd,7,unauthorised,"Unknown charge from your store, I never placed any order.",honest,,False,0
ALT00036,CUST00452,1469.54,1381,13,0,in_transit,none,dev_6c5540f0,addr_58e7edf8,7,item_not_received,"Nothing was delivered to my address. Please refund the amount. The size is wrong, I want to send it back.",honest,,True,0
ALT00037,CUST00574,1885.96,1351,7,0,in_transit,otp,dev_5c94563a,addr_ba751921,38,duplicate_charge,"Charged twice for the same order, please reverse one debit.",honest,,False,1
ALT00038,CUST00697,4405.67,1025,14,1,lost,none,dev_09eda6f5,addr_3cd1ff3f,6,not_as_described,Product does not match the description on your site. Kindly help.,honest,,False,0
ALT00039,CUST01528,6993.97,1265,33,0,delivered,otp,dev_ae27d432,addr_7d23d479,45,item_not_received,Nothing was delivered to my address. Please refund the amount. Kindly help.,honest,,False,1
ALT00040,CUST01492,3003.07,587,47,1,delivered,otp,dev_fb5f5290,addr_f68b6ba0,14,unauthorised,I did not authorise this transaction on my card.,honest,,False,0
ALT00041,CUST01031,1276.21,5,0,3,delivered,none,dev_b87189e1,addr_a0d763f0,28,not_as_described,"Received the wrong variant, this is not what I ordered. Refund immediately.",ring,dropship,False,0
ALT00042,CUST01139,2142.11,468,11,1,delivered,signed,dev_44b0703f,addr_380cfd3d,41,item_not_received,Order never arrived. Tracking shows delivered but nothing reached me.,opportunist,,False,1
ALT00043,CUST00479,8349.42,662,40,1,in_transit,none,dev_daf93e99,addr_addb8943,13,unauthorised,I did not authorise this transaction on my card.,honest,,False,0
ALT00044,CUST00943,2377.94,1491,50,1,delivered,signed,dev_fabfa7ef,addr_d93eea4d,3,not_as_described,Product does not match the description on your site. Kindly help.,honest,,False,1
ALT00045,CUST00418,1712.73,52,2,1,delivered,otp,dev_6af01106,addr_64907a63,44,unauthorised,I did not authorise this transaction on my card. Refund immediately.,ring,dropship,False,0
ALT00046,CUST00774,1832.21,584,14,2,delivered,signed,dev_e0b7d818,addr_6485525e,44,not_as_described,Item is not what the listing showed. Quality is poor.,opportunist,,False,1
ALT00047,CUST01565,2991.55,1277,28,0,delivered,signed,dev_19dd3e8c,addr_4d407b28,28,not_as_described,Product does not match the description on your site.,honest,,False,1
ALT00048,CUST00545,1110.74,938,23,0,in_transit,none,dev_a6388854,addr_5893ef12,44,unauthorised,"This charge is not mine, my card was used without permission.",honest,,False,0
ALT00049,CUST01697,1441.6,501,21,0,lost,none,dev_d76d9612,addr_03288b00,37,not_as_described,"Received the wrong variant, this is not what I ordered.",honest,,False,0
ALT00050,CUST00352,4808.27,1318,26,0,delivered,otp,dev_af475b49,addr_2285b2ef,17,item_not_received,Order never arrived. Tracking shows delivered but nothing reached me.,honest,,False,1
ALT00051,CUST00605,2920.29,405,48,0,delivered,otp,dev_edd97a1a,addr_e0decc3d,38,duplicate_charge,Duplicate debit of the same amount on the same day.,honest,,False,1
ALT00052,CUST00110,2398.3,306,3,4,delivered,otp,dev_2fe12ed8,addr_87e81b25,8,duplicate_charge,Duplicate debit of the same amount on the same day. This keeps happening.,opportunist,,False,0
ALT00053,CUST01459,5030.87,783,10,0,in_transit,none,dev_45d5a68d,addr_6ffe33b3,34,item_not_received,Order never arrived. Tracking shows delivered but nothing reached me.,honest,,False,0
ALT00054,CUST00103,1215.92,1064,27,0,delivered,otp,dev_f9fc9c3f,addr_1182e8e7,16,duplicate_charge,Two payments went out for a single purchase. Kindly help.,honest,,False,1
ALT00055,CUST01100,1744.76,166,4,3,delivered,signed,dev_bc775a20,addr_1533fe82,12,not_as_described,Item is not what the listing showed. Quality is poor.,opportunist,,False,1
ALT00056,CUST01431,1816.29,448,5,3,delivered,otp,dev_e987cfb2,addr_35e0edd6,5,not_as_described,Product does not match the description on your site. I raised this before and got no response.,opportunist,,False,0
ALT00057,CUST00943,1671.52,1491,50,1,delivered,signed,dev_fabfa7ef,addr_d93eea4d,2,unauthorised,I did not authorise this transaction on my card. The box was torn when I opened it. Kindly help.,honest,,True,0
ALT00058,CUST00062,2217.97,225,20,0,in_transit,otp,dev_78c59073,addr_266bf2ea,21,item_not_received,Order never arrived. Tracking shows delivered but nothing reached me. Kindly help.,honest,,False,1
ALT00059,CUST00389,1809.13,891,40,0,delivered,otp,dev_945d91a5,addr_75a72686,35,not_as_described,Item is not what the listing showed. Quality is poor. Kindly help.,honest,,False,1
ALT00060,CUST01532,1650.27,1325,15,1,lost,none,dev_9b49bd26,addr_f6e07cc0,10,item_not_received,I have not received this package even after 10 days. Kindly help.,honest,,False,0
ALT00061,CUST00235,1116.62,60,3,0,in_transit,none,dev_c37637d6,addr_a057c558,19,unauthorised,I did not authorise this transaction on my card.,ring,tight,False,0
ALT00062,CUST01117,10973.71,671,12,1,in_transit,none,dev_3a4fece7,addr_33304e33,37,not_as_described,"Received the wrong variant, this is not what I ordered.",honest,,False,0
ALT00063,CUST01069,1810.21,451,9,3,lost,none,dev_7c45d65d,addr_ce4f4c66,12,item_not_received,I have not received this package even after 12 days. I raised this before and got no response.,opportunist,,False,0
ALT00064,CUST00960,2561.61,454,18,3,delivered,signed,dev_85a0daf6,addr_710fc415,39,item_not_received,I have not received this package even after 39 days. It stopped working after two days of use. This keeps happening.,opportunist,,True,0
ALT00065,CUST00699,2173.8,229,6,3,delivered,otp,dev_461aef63,addr_2b589b3f,10,item_not_received,I have not received this package even after 10 days.,opportunist,,False,1
ALT00066,CUST01633,532.47,794,17,0,in_transit,otp,dev_1e42d2b8,addr_cbf6aa23,33,not_as_described,"Received the wrong variant, this is not what I ordered.",honest,,False,1
ALT00067,CUST01354,2409.07,1187,47,0,delivered,signed,dev_3e4c943a,addr_b32d3c81,37,item_not_received,Nothing was delivered to my address. Please refund the amount. Kindly help.,honest,,False,1
ALT00068,CUST00080,1528.87,768,47,0,delivered,signed,dev_b8f40e5e,addr_c840789b,27,item_not_received,Nothing was delivered to my address. Please refund the amount.,honest,,False,1
ALT00069,CUST01610,3314.6,802,12,1,lost,none,dev_2b1fc2ab,addr_45f3dc5a,41,unauthorised,I did not authorise this transaction on my card.,honest,,False,0
ALT00070,CUST00124,1771.93,1374,47,0,in_transit,otp,dev_ec1b55dd,addr_0a42be3f,4,not_as_described,"Received the wrong variant, this is not what I ordered.",honest,,False,1
ALT00071,CUST01709,2947.9,610,17,1,delivered,none,dev_1e1e5d91,addr_2639e214,1,duplicate_charge,Duplicate debit of the same amount on the same day. Kindly help.,honest,,False,1
ALT00072,CUST00529,2194.54,315,11,4,lost,none,dev_0f2f633b,addr_a3beb445,36,not_as_described,Item is not what the listing showed. Quality is poor. This keeps happening.,opportunist,,False,0
ALT00073,CUST00397,1142.49,1286,8,1,in_transit,otp,dev_941c23fa,addr_20dda0ff,13,not_as_described,"Received the wrong variant, this is not what I ordered.",honest,,False,0
ALT00074,CUST00496,4260.62,1426,40,0,in_transit,otp,dev_27afbff9,addr_5dfb1922,44,item_not_received,Nothing was delivered to my address. Please refund the amount. It stopped working after two days of use. Kindly help.,honest,,True,1
ALT00075,CUST00349,7291.21,986,6,0,delivered,otp,dev_d399956c,addr_0b328c23,20,not_as_described,"Received the wrong variant, this is not what I ordered.",honest,,False,1
ALT00076,CUST00042,7211.82,1043,40,1,delivered,signed,dev_650e78e4,addr_60dc12eb,24,unauthorised,I did not authorise this transaction on my card.,honest,,False,1
ALT00077,CUST00634,1451.83,1218,28,1,lost,none,dev_cd180a82,addr_ba220065,30,item_not_received,I have not received this package even after 30 days. Kindly help.,honest,,False,0
ALT00078,CUST00798,4840.09,329,15,1,delivered,none,dev_46a56fe8,addr_4cbc9044,19,not_as_described,Item is not what the listing showed. Quality is poor.,honest,,False,1
ALT00079,CUST01615,9420.22,1033,28,0,delivered,otp,dev_d7be7b4f,addr_3c6d3173,44,item_not_received,Nothing was delivered to my address. Please refund the amount.,honest,,False,1
ALT00080,CUST01369,4640.38,555,14,2,delivered,signed,dev_93c379fd,addr_fe2181fd,18,not_as_described,Item is not what the listing showed. Quality is poor. This keeps happening.,opportunist,,False,1
ALT00081,CUST00223,3834.23,240,30,1,delivered,otp,dev_a6d5dac6,addr_1e0914d2,12,not_as_described,"Received the wrong variant, this is not what I ordered. Kindly help.",honest,,False,1
ALT00082,CUST00274,780.99,1228,49,0,delivered,otp,dev_92efd363,addr_37387270,45,item_not_received,Nothing was delivered to my address. Please refund the amount. Kindly help.,honest,,False,1
ALT00083,CUST00117,1881.76,584,5,3,lost,none,dev_bfcff645,addr_bf2c1fd1,14,item_not_received,Order never arrived. Tracking shows delivered but nothing reached me. This keeps happening.,opportunist,,False,0
ALT00084,CUST00527,1134.83,1140,33,1,in_transit,otp,dev_7f9ad277,addr_50e96888,21,duplicate_charge,Two payments went out for a single purchase. Kindly help.,honest,,False,0
ALT00085,CUST00454,1679.49,1441,37,0,in_transit,none,dev_939b462d,addr_41357e8c,6,unauthorised,"Unknown charge from your store, I never placed any order. The size is wrong, I want to send it back. Kindly help.",honest,,True,0
ALT00086,CUST01799,4409.38,944,22,1,in_transit,none,dev_b62a7941,addr_3f39562d,39,not_as_described,Item is not what the listing showed. Quality is poor. Kindly help.,honest,,False,0
ALT00087,CUST00187,775.7,1264,34,0,delivered,signed,dev_6b6a8061,addr_6a18e5af,26,item_not_received,Order never arrived. Tracking shows delivered but nothing reached me.,honest,,False,1
ALT00088,CUST01750,563.2,73,1,2,delivered,signed,dev_f4a985b0,addr_9ef17e4f,40,item_not_received,I have not received this package even after 40 days. Refund immediately.,ring,tight,False,1
ALT00089,CUST00195,2583.6,606,35,0,delivered,otp,dev_2e625a6f,addr_a26d18f6,36,not_as_described,Item is not what the listing showed. Quality is poor.,honest,,False,0
ALT00090,CUST00427,2754.25,300,3,3,in_transit,none,dev_68b49b00,addr_514f6fd9,2,duplicate_charge,Two payments went out for a single purchase.,opportunist,,False,0
ALT00091,CUST01125,4292.18,293,46,1,delivered,otp,dev_a6b07458,addr_a394ed54,16,duplicate_charge,Two payments went out for a single purchase.,honest,,False,1
ALT00092,CUST01304,3441.46,428,6,1,in_transit,none,dev_3eb13b90,addr_8b9d2434,19,item_not_received,Nothing was delivered to my address. Please refund the amount.,honest,,False,0
ALT00093,CUST00006,2842.49,217,9,1,in_transit,none,dev_a90e319d,addr_1b9ec5f9,26,not_as_described,Product does not match the description on your site.,honest,,False,0
ALT00094,CUST00274,1238.9,1228,49,0,in_transit,none,dev_92efd363,addr_37387270,39,item_not_received,Nothing was delivered to my address. Please refund the amount. It stopped working after two days of use.,honest,,True,1
ALT00095,CUST01104,2690.32,784,35,1,delivered,signed,dev_19cb84c8,addr_2f51aca6,22,not_as_described,Product does not match the description on your site.,honest,,False,1
ALT00096,CUST01549,2833.06,538,33,1,lost,none,dev_63e73896,addr_9b72a9fe,11,item_not_received,Order never arrived. Tracking shows delivered but nothing reached me.,honest,,False,1
ALT00097,CUST00924,1203.27,885,20,0,delivered,signed,dev_a6276167,addr_b3ed8f33,17,item_not_received,Order never arrived. Tracking shows delivered but nothing reached me. Kindly help.,honest,,False,1
ALT00098,CUST01097,10784.97,512,5,4,delivered,otp,dev_32888f78,addr_96e15645,41,unauthorised,"This charge is not mine, my card was used without permission. The size is wrong, I want to send it back. I raised this before and got no response.",opportunist,,True,0
ALT00099,CUST00891,3303.57,840,32,1,lost,none,dev_aa448259,addr_ec48bf55,34,unauthorised,"Unknown charge from your store, I never placed any order.",honest,,False,0
ALT00100,CUST00873,964.41,405,13,0,in_transit,none,dev_9a0270da,addr_f69777a1,3,item_not_received,Nothing was delivered to my address. Please refund the amount.,honest,,False,0
ALT00101,CUST00739,4311.42,382,42,0,delivered,none,dev_82ab23a0,addr_d8feb8de,2,item_not_received,Order never arrived. Tracking shows delivered but nothing reached me.,honest,,False,0
ALT00102,CUST01526,5008.39,708,22,0,delivered,none,dev_1bac27a7,addr_df465290,17,unauthorised,I did not authorise this transaction on my card.,honest,,False,0
ALT00103,CUST01042,3136.5,690,36,1,delivered,signed,dev_1cdcc4c2,addr_980bc81e,41,item_not_received,Nothing was delivered to my address. Please refund the amount. Kindly help.,honest,,False,1
ALT00104,CUST00292,1792.6,429,9,0,delivered,none,dev_8babce3b,addr_d5a804eb,19,unauthorised,I did not authorise this transaction on my card.,honest,,False,0
ALT00105,CUST00622,1163.66,639,16,1,in_transit,none,dev_47a48c42,addr_e2280fe3,34,item_not_received,I have not received this package even after 34 days.,honest,,False,0
ALT00106,CUST00486,2068.26,530,48,1,delivered,otp,dev_94372280,addr_ee757637,34,not_as_described,"Received the wrong variant, this is not what I ordered.",honest,,False,0
ALT00107,CUST00434,1844.86,442,8,2,delivered,signed,dev_8af2820e,addr_ae26f348,4,unauthorised,"Unknown charge from your store, I never placed any order. The box was torn when I opened it. This keeps happening.",opportunist,,True,1
ALT00108,CUST00754,2951.24,1182,47,1,lost,none,dev_956abfdf,addr_f9f6b641,5,not_as_described,"Received the wrong variant, this is not what I ordered. Kindly help.",honest,,False,0
ALT00109,CUST00372,22567.34,390,7,0,lost,none,dev_850ef0ad,addr_5f5ba255,29,unauthorised,"This charge is not mine, my card was used without permission. Kindly help.",honest,,False,0
ALT00110,CUST01446,2391.56,311,46,1,delivered,none,dev_1db1ce86,addr_2ae7dc19,40,not_as_described,Product does not match the description on your site.,honest,,False,1
ALT00111,CUST01700,974.02,201,6,2,delivered,otp,dev_f7048d14,addr_287e09f1,44,not_as_described,Item is not what the listing showed. Quality is poor. This keeps happening.,opportunist,,False,1
ALT00112,CUST00605,5067.5,405,48,0,delivered,otp,dev_edd97a1a,addr_e0decc3d,41,not_as_described,Item is not what the listing showed. Quality is poor.,honest,,False,1
ALT00113,CUST01157,1987.21,1295,5,1,delivered,signed,dev_7a211151,addr_5fa72012,20,not_as_described,Item is not what the listing showed. Quality is poor.,honest,,False,0
ALT00114,CUST00221,4143.47,474,43,0,delivered,otp,dev_977f199a,addr_470367f7,19,unauthorised,"This charge is not mine, my card was used without permission. Kindly help.",honest,,False,0
ALT00115,CUST01146,1503.28,768,42,1,lost,none,dev_5a29fe6b,addr_9ceab67b,40,item_not_received,Order never arrived. Tracking shows delivered but nothing reached me.,honest,,False,0
ALT00116,CUST01311,4274.8,1070,29,0,delivered,otp,dev_5fc57ff4,addr_8cf0f97b,2,duplicate_charge,"Charged twice for the same order, please reverse one debit. Kindly help.",honest,,False,0
ALT00117,CUST00442,1005.12,1329,21,1,delivered,none,dev_260ccfb4,addr_647ac591,34,unauthorised,"Unknown charge from your store, I never placed any order. Kindly help.",honest,,False,0
ALT00118,CUST01233,1947.64,65,12,2,lost,none,dev_75666394,addr_280d4e22,34,not_as_described,"Received the wrong variant, this is not what I ordered.",opportunist,,False,0
ALT00119,CUST00705,1427.93,889,44,0,lost,none,dev_98e52499,addr_277d1be9,8,duplicate_charge,Duplicate debit of the same amount on the same day. Kindly help.,honest,,False,0
ALT00120,CUST01249,1041.82,558,12,2,delivered,signed,dev_85d8cc08,addr_5cd0094c,10,unauthorised,"This charge is not mine, my card was used without permission. This keeps happening.",opportunist,,False,1
ALT00121,CUST00544,2516.61,1280,45,1,delivered,otp,dev_98d3148b,addr_9c7eb575,23,not_as_described,Product does not match the description on your site.,honest,,False,0
ALT00122,CUST01698,2320.36,493,47,0,in_transit,otp,dev_69df14e9,addr_46707cd6,1,item_not_received,Order never arrived. Tracking shows delivered but nothing reached me. Kindly help.,honest,,False,0
ALT00123,CUST01701,835.87,41,1,3,delivered,signed,dev_a510f7b4,addr_ffc7aba2,34,item_not_received,Order never arrived. Tracking shows delivered but nothing reached me. Refund immediately.,ring,dropship,False,1
ALT00124,CUST01727,5544.68,257,42,0,delivered,signed,dev_5dcd0d40,addr_957edc3c,16,not_as_described,Product does not match the description on your site.,honest,,False,1
ALT00125,CUST01282,5408.53,304,10,1,in_transit,none,dev_d450281c,addr_0b49452d,11,duplicate_charge,"Charged twice for the same order, please reverse one debit.",honest,,False,0
ALT00126,CUST00013,1527.52,372,20,2,delivered,otp,dev_1f6c6a86,addr_fa584a4b,25,not_as_described,Product does not match the description on your site.,opportunist,,False,0
ALT00127,CUST00153,2860.59,1015,25,1,delivered,signed,dev_a205e54f,addr_c82f78fd,2,not_as_described,Item is not what the listing showed. Quality is poor.,honest,,False,0
ALT00128,CUST01080,2747.99,402,18,1,delivered,otp,dev_96e1a522,addr_f52ef4a6,41,item_not_received,Order never arrived. Tracking shows delivered but nothing reached me.,honest,,False,1
ALT00129,CUST00835,7493.21,957,29,1,in_transit,none,dev_031eef96,addr_584cb0f7,34,duplicate_charge,Duplicate debit of the same amount on the same day.,honest,,False,0
ALT00130,CUST01314,2222.11,357,24,0,delivered,signed,dev_905f9096,addr_d9750f00,15,unauthorised,I did not authorise this transaction on my card.,honest,,False,1
ALT00131,CUST00902,2690.42,426,19,2,delivered,signed,dev_10116af4,addr_902a73ae,29,item_not_received,Nothing was delivered to my address. Please refund the amount.,opportunist,,False,1
ALT00132,CUST01221,2565.1,178,19,2,delivered,signed,dev_79a759de,addr_08aa6127,32,unauthorised,I did not authorise this transaction on my card.,opportunist,,False,1
ALT00133,CUST01157,2540.89,1295,5,1,in_transit,otp,dev_7a211151,addr_5fa72012,39,duplicate_charge,Two payments went out for a single purchase.,honest,,False,1
ALT00134,CUST00813,1066.84,1180,35,0,lost,none,dev_973e129c,addr_6930b0c4,17,not_as_described,Item is not what the listing showed. Quality is poor.,honest,,False,0
ALT00135,CUST00415,482.88,1055,38,1,delivered,signed,dev_a78eb37c,addr_bba8a7e5,21,item_not_received,Order never arrived. Tracking shows delivered but nothing reached me.,honest,,False,1
ALT00136,CUST00821,2992.03,426,12,2,delivered,otp,dev_059167e1,addr_663ab809,1,item_not_received,Nothing was delivered to my address. Please refund the amount.,opportunist,,False,1
ALT00137,CUST00160,1033.65,25,2,0,delivered,signed,dev_a510f7b4,addr_4cc378c3,28,item_not_received,Order never arrived. Tracking shows delivered but nothing reached me. Refund immediately.,ring,dropship,False,1
ALT00138,CUST01015,1661.38,1037,28,1,delivered,none,dev_51284026,addr_61e30fb4,13,not_as_described,"Received the wrong variant, this is not what I ordered.",honest,,False,0
ALT00139,CUST01367,3523.25,236,8,2,delivered,signed,dev_2e7e4cef,addr_c95bc917,11,not_as_described,Item is not what the listing showed. Quality is poor.,opportunist,,False,1
ALT00140,CUST01769,1642.1,242,11,2,delivered,otp,dev_90a67567,addr_3030d7f4,7,duplicate_charge,"Charged twice for the same order, please reverse one debit. I raised this before and got no response.",opportunist,,False,1
ALT00141,CUST00419,749.76,266,33,1,delivered,otp,dev_d1151fff,addr_fe7402cd,35,not_as_described,Item is not what the listing showed. Quality is poor.,honest,,False,1
ALT00142,CUST01517,13661.71,728,45,1,in_transit,none,dev_d17ad9bd,addr_42710779,11,not_as_described,Item is not what the listing showed. Quality is poor.,honest,,False,0
ALT00143,CUST01707,3785.11,431,7,1,delivered,signed,dev_e39836bb,addr_3d9c4e64,38,not_as_described,Item is not what the listing showed. Quality is poor. Kindly help.,honest,,False,0
ALT00144,CUST00396,394.9,84,17,4,delivered,none,dev_0f4e2726,addr_70a6d78b,37,not_as_described,Product does not match the description on your site. This keeps happening.,opportunist,,False,0
ALT00145,CUST01242,2587.6,772,43,1,delivered,otp,dev_8e485223,addr_30e912f2,15,duplicate_charge,"Charged twice for the same order, please reverse one debit. Kindly help.",honest,,False,1
ALT00146,CUST00362,1125.92,573,16,0,delivered,none,dev_2947fd26,addr_1dee4b6d,22,not_as_described,Product does not match the description on your site.,honest,,False,1
ALT00147,CUST01513,2003.15,855,18,1,delivered,otp,dev_501ba851,addr_dd34aa18,41,not_as_described,"Received the wrong variant, this is not what I ordered. Kindly help.",honest,,False,0
ALT00148,CUST00243,3392.22,254,47,1,delivered,otp,dev_6449cb6f,addr_a56b61e0,32,not_as_described,"Received the wrong variant, this is not what I ordered. Kindly help.",honest,,False,1
ALT00149,CUST01597,4609.58,503,41,0,in_transit,otp,dev_ecc817a6,addr_693016ea,1,item_not_received,I have not received this package even after 1 days. Kindly help.,honest,,False,1
ALT00150,CUST00294,1474.83,935,5,1,delivered,otp,dev_22f3f068,addr_d0b1fde0,41,item_not_received,Order never arrived. Tracking shows delivered but nothing reached me.,honest,,False,1
ALT00151,CUST01390,1267.33,1388,16,1,in_transit,none,dev_77d468ea,addr_16f32b93,22,not_as_described,Item is not what the listing showed. Quality is poor. Kindly help.,honest,,False,0
ALT00152,CUST00542,756.16,226,38,0,delivered,signed,dev_06783c34,addr_253421bc,42,item_not_received,Order never arrived. Tracking shows delivered but nothing reached me. Kindly help.,honest,,False,0
ALT00153,CUST00284,4818.33,11,0,0,delivered,signed,dev_f2602a26,addr_8af41753,39,unauthorised,I did not authorise this transaction on my card. Refund immediately.,ring,tight,False,0
ALT00154,CUST01276,13411.03,843,5,0,delivered,signed,dev_1861c9f3,addr_3fa2bde0,2,not_as_described,Item is not what the listing showed. Quality is poor.,honest,,False,1
ALT00155,CUST01742,5311.32,1112,29,1,delivered,signed,dev_99afee64,addr_2fb50401,15,not_as_described,Product does not match the description on your site. Kindly help.,honest,,False,1
ALT00156,CUST01467,6482.58,1398,32,1,delivered,otp,dev_f8140102,addr_785299f4,9,item_not_received,Nothing was delivered to my address. Please refund the amount. Kindly help.,honest,,False,1
